tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,match_date,color,X,Y,Tableau X,Tableau Y,Radius,Stage Group,Result,Opponent,Point ID
1999-520,Roland Garros,Clay,128,G,19990524,48,102158,3,,Patrick Rafter,R,185,AUS,26.4010951403,3,3298,103819,,WC,Roger Federer,R,185,SUI,17.7905544148,111,424,5-7 6-3 6-0 6-2,5,R128,133,6,3,117,84,59,20,18,7,9,3,3,108,60,37,24,17,10,17,1999-05-24,#aeb7c6,257.92,9.42,257.92,690.58,5.5,Early Rounds,Loss,Patrick Rafter,1
1999-540,Wimbledon,Grass,128,G,19990621,50,102562,,,Jiri Novak,R,190,CZE,24.2491444216,59,779,103819,,WC,Roger Federer,R,185,SUI,17.8672142368,103,457,6-3 3-6 4-6 6-3 6-4,5,R128,138,1,5,171,130,85,16,24,17,21,8,6,160,108,77,22,23,10,15,1999-06-21,#aeb7c6,278.57,9.59,278.57,690.41,5.5,Early Rounds,Loss,Jiri Novak,2
2000-580,Australian Open,Hard,128,G,20000117,52,103819,,,Roger Federer,R,185,SUI,18.4421629021,62,620,102021,,,Michael Chang,R,175,USA,27.9014373717,38,841,6-4 6-4 7-6(5),5,R128,125,14,7,101,55,42,28,16,1,3,6,9,120,74,52,22,16,5,9,2000-01-17,#aeb7c6,299.22,9.77,299.22,690.23,5.5,Early Rounds,Win,Michael Chang,3
2000-580,Australian Open,Hard,128,G,20000117,90,103819,,,Roger Federer,R,185,SUI,18.4421629021,62,620,102466,,,Jan Kroslak,R,188,SVK,25.2511978097,104,372,7-6(1) 6-2 6-3,5,R64,106,9,4,106,64,43,28,14,9,10,6,6,105,68,41,16,15,8,12,2000-01-17,#aeb7c6,316.67,10.51,316.67,689.49,5.5,Early Rounds,Win,Jan Kroslak,4
2000-580,Australian Open,Hard,128,G,20000117,109,103096,,,Arnaud Clement,R,173,FRA,22.083504449,54,694,103819,,,Roger Federer,R,185,SUI,18.4421629021,62,620,6-1 6-4 6-3,5,R32,101,2,0,84,50,36,21,13,3,4,7,6,88,49,32,13,13,6,12,2000-01-17,#aeb7c6,335.15,10.12,335.15,689.88,5.5,Early Rounds,Loss,Arnaud Clement,5
2000-520,Roland Garros,Clay,128,G,20000529,50,103819,,,Roger Federer,R,185,SUI,18.8062970568,54,735,101885,,,Wayne Arthurs,L,190,AUS,29.1991786448,106,386,7-6(4) 6-3 1-6 6-3,5,R128,147,5,4,135,80,59,31,19,11,13,16,7,119,57,49,31,18,7,9,2000-05-29,#aeb7c6,354.76,9.77,354.76,690.23,5.5,Early Rounds,Win,Wayne Arthurs,6
2000-520,Roland Garros,Clay,128,G,20000529,89,103819,,,Roger Federer,R,185,SUI,18.8062970568,54,735,102998,,,Jan Michael Gambill,R,190,USA,22.9869952088,69,626,7-6(5) 6-3 6-3,5,R64,132,8,3,124,80,56,25,15,9,10,6,3,98,63,41,17,15,2,6,2000-05-29,#aeb7c6,375.41,9.95,375.41,690.05,5.5,Early Rounds,Win,Jan Michael Gambill,7
2000-520,Roland Garros,Clay,128,G,20000529,109,103819,,,Roger Federer,R,185,SUI,18.8062970568,54,735,103356,,Q,Michel Kratochvil,R,185,SUI,21.144421629,120,335,7-6(5) 6-4 2-6 6-7(4) 8-6,5,R32,265,14,7,179,101,75,40,28,10,16,6,15,212,101,67,60,28,17,23,2000-05-29,#aeb7c6,393.37,10.12,393.37,689.88,5.5,Early Rounds,Win,Michel Kratochvil,8
2000-520,Roland Garros,Clay,128,G,20000529,119,102374,10,,Alex Corretja,R,180,ESP,26.1327857632,10,1776,103819,,,Roger Federer,R,185,SUI,18.8062970568,54,735,7-5 7-6(7) 6-2,5,R16,156,5,3,107,52,45,28,16,3,5,9,6,126,74,53,18,16,9,14,2000-05-29,#49b6c2,516.01,29.90,516.01,670.10,7.2,R16 / Quarter-Final,Loss,Alex Corretja,9
2000-540,Wimbledon,Grass,128,G,20000626,33,102338,5,,Yevgeny Kafelnikov,R,190,RUS,26.3518138261,5,3016,103819,,,Roger Federer,R,185,SUI,18.8829568789,35,914,7-5 7-5 7-6(6),5,R128,128,13,9,122,73,55,23,18,5,8,10,2,115,67,43,28,18,2,7,2000-06-26,#aeb7c6,411.90,9.78,411.90,690.22,5.5,Early Rounds,Loss,Yevgeny Kafelnikov,10
2000-560,US Open,Hard,128,G,20000828,38,103819,,,Roger Federer,R,185,SUI,19.0554414784,40,892,103193,,,Peter Wessels,R,196,NED,22.3107460643,89,467,4-6 4-6 6-3 7-5 3-4 RET,5,R128,152,15,9,150,85,62,38,25,5,8,15,4,128,81,61,30,24,2,5,2000-08-28,#aeb7c6,429.35,9.95,429.35,690.05,5.5,Early Rounds,Win,Peter Wessels,11
2000-560,US Open,Hard,128,G,20000828,83,103819,,,Roger Federer,R,185,SUI,19.0554414784,40,892,102110,,,Daniel Nestor,L,190,CAN,27.9808350445,307,99,6-1 7-6(5) 6-1,5,R64,92,15,1,88,55,48,18,14,4,4,7,4,77,54,33,10,12,4,8,2000-08-28,#aeb7c6,449.10,10.13,449.10,689.87,5.5,Early Rounds,Win,Daniel Nestor,12
2000-560,US Open,Hard,128,G,20000828,106,103507,12,,Juan Carlos Ferrero,R,183,ESP,20.5420944559,12,1619,103819,,,Roger Federer,R,185,SUI,19.0554414784,40,892,7-5 7-6(6) 1-6 7-6(6),5,R32,173,4,10,151,81,55,36,22,3,9,14,7,135,75,60,30,21,8,12,2000-08-28,#aeb7c6,468.39,10.19,468.39,689.81,5.5,Early Rounds,Loss,Juan Carlos Ferrero,13
2001-580,Australian Open,Hard,128,G,20010115,6,103819,,,Roger Federer,R,185,SUI,19.4387405886,29,1080,103324,,,Arnaud Di Pasquale,R,185,FRA,21.9274469541,61,670,6-4 4-6 6-1 7-5,5,R128,132,6,0,120,81,52,25,19,5,8,1,2,124,78,48,23,20,4,10,2001-01-15,#aeb7c6,488.38,9.78,488.38,690.22,5.5,Early Rounds,Win,Arnaud Di Pasquale,14
2001-580,Australian Open,Hard,128,G,20010115,67,103819,,,Roger Federer,R,185,SUI,19.4387405886,29,1080,102765,,,Nicolas Escude,R,185,FRA,24.7857631759,46,840,6-1 6-4 6-4,5,R64,105,12,6,104,65,47,21,13,5,6,0,2,80,47,27,20,14,2,7,2001-01-15,#aeb7c6,508.37,9.60,508.37,690.40,5.5,Early Rounds,Win,Nicolas Escude,15
2001-580,Australian Open,Hard,128,G,20010115,98,103096,15,,Arnaud Clement,R,173,FRA,23.0800821355,18,1360,103819,,,Roger Federer,R,185,SUI,19.4387405886,29,1080,7-6(5) 6-4 6-4,5,R32,128,3,4,101,61,44,24,16,5,8,13,10,118,74,48,18,16,6,11,2001-01-15,#aeb7c6,529.96,9.43,529.96,690.57,5.5,Early Rounds,Loss,Arnaud Clement,16
2001-520,Roland Garros,Clay,128,G,20010528,53,103819,,,Roger Federer,R,185,SUI,19.8028747433,18,1480,102999,,Q,Stefano Galvani,R,178,ITA,23.9835728953,239,147,6-3 6-3 6-3,5,R128,104,10,5,84,44,33,23,14,11,13,0,12,99,44,25,24,13,13,20,2001-05-28,#aeb7c6,552.68,9.49,552.68,690.51,5.5,Early Rounds,Win,Stefano Galvani,17
2001-520,Roland Garros,Clay,128,G,20010528,91,103819,,,Roger Federer,R,185,SUI,19.8028747433,18,1480,102227,,,Sargis Sargsian,R,180,ARM,27.9835728953,115,361,4-6 3-6 6-2 6-4 9-7,5,R64,197,9,2,147,97,70,30,26,7,10,2,5,169,104,67,39,27,5,10,2001-05-28,#aeb7c6,597.61,9.32,597.61,690.68,5.5,Early Rounds,Win,Sargis Sargsian,18
2001-520,Roland Garros,Clay,128,G,20010528,110,103819,,,Roger Federer,R,185,SUI,19.8028747433,18,1480,103176,,,David Sanchez,R,183,ESP,23.1047227926,89,482,6-4 6-3 1-6 6-3,5,R32,139,4,3,112,72,54,16,17,14,18,2,4,115,70,41,26,18,10,15,2001-05-28,#aeb7c6,576.35,9.14,576.35,690.86,5.5,Early Rounds,Win,David Sanchez,19
2001-520,Roland Garros,Clay,128,G,20010528,119,103819,,,Roger Federer,R,185,SUI,19.8028747433,18,1480,101885,,,Wayne Arthurs,L,190,AUS,30.1957563313,59,693,3-6 6-3 6-4 6-2,5,R16,147,5,3,106,57,45,29,18,3,5,12,9,147,74,53,30,18,19,24,2001-05-28,#49b6c2,296.81,56.74,296.81,643.26,7.2,R16 / Quarter-Final,Win,Wayne Arthurs,20
2001-520,Roland Garros,Clay,128,G,20010528,124,102374,13,,Alex Corretja,R,180,ESP,27.1293634497,13,1825,103819,,,Roger Federer,R,185,SUI,19.8028747433,18,1480,7-5 6-4 7-5,5,QF,161,1,4,127,82,50,23,17,12,16,2,5,104,69,42,15,17,10,17,2001-05-28,#49b6c2,478.81,395.11,478.81,304.89,7.2,R16 / Quarter-Final,Loss,Alex Corretja,21
