tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1999-540,Wimbledon,Grass,128,G,19990621,50,102562,,,Jiri Novak,R,190.0,CZE,24.2491444216,59.0,779.0,103819,,WC,Roger Federer,R,185.0,SUI,17.8672142368,103.0,457.0,6-3 3-6 4-6 6-3 6-4,5,R128,138.0,1.0,5.0,171.0,130.0,85.0,16.0,24.0,17.0,21.0,8.0,6.0,160.0,108.0,77.0,22.0,23.0,10.0,15.0
1999-520,Roland Garros,Clay,128,G,19990524,48,102158,3.0,,Patrick Rafter,R,185.0,AUS,26.4010951403,3.0,3298.0,103819,,WC,Roger Federer,R,185.0,SUI,17.7905544148,111.0,424.0,5-7 6-3 6-0 6-2,5,R128,133.0,6.0,3.0,117.0,84.0,59.0,20.0,18.0,7.0,9.0,3.0,3.0,108.0,60.0,37.0,24.0,17.0,10.0,17.0
2000-560,US Open,Hard,128,G,20000828,38,103819,,,Roger Federer,R,185.0,SUI,19.0554414784,40.0,892.0,103193,,,Peter Wessels,R,196.0,NED,22.3107460643,89.0,467.0,4-6 4-6 6-3 7-5 3-4 RET,5,R128,152.0,15.0,9.0,150.0,85.0,62.0,38.0,25.0,5.0,8.0,15.0,4.0,128.0,81.0,61.0,30.0,24.0,2.0,5.0
2000-560,US Open,Hard,128,G,20000828,83,103819,,,Roger Federer,R,185.0,SUI,19.0554414784,40.0,892.0,102110,,,Daniel Nestor,L,190.0,CAN,27.9808350445,307.0,99.0,6-1 7-6(5) 6-1,5,R64,92.0,15.0,1.0,88.0,55.0,48.0,18.0,14.0,4.0,4.0,7.0,4.0,77.0,54.0,33.0,10.0,12.0,4.0,8.0
2000-560,US Open,Hard,128,G,20000828,106,103507,12.0,,Juan Carlos Ferrero,R,183.0,ESP,20.5420944559,12.0,1619.0,103819,,,Roger Federer,R,185.0,SUI,19.0554414784,40.0,892.0,7-5 7-6(6) 1-6 7-6(6),5,R32,173.0,4.0,10.0,151.0,81.0,55.0,36.0,22.0,3.0,9.0,14.0,7.0,135.0,75.0,60.0,30.0,21.0,8.0,12.0
2000-580,Australian Open,Hard,128,G,20000117,52,103819,,,Roger Federer,R,185.0,SUI,18.4421629021,62.0,620.0,102021,,,Michael Chang,R,175.0,USA,27.9014373717,38.0,841.0,6-4 6-4 7-6(5),5,R128,125.0,14.0,7.0,101.0,55.0,42.0,28.0,16.0,1.0,3.0,6.0,9.0,120.0,74.0,52.0,22.0,16.0,5.0,9.0
2000-580,Australian Open,Hard,128,G,20000117,90,103819,,,Roger Federer,R,185.0,SUI,18.4421629021,62.0,620.0,102466,,,Jan Kroslak,R,188.0,SVK,25.2511978097,104.0,372.0,7-6(1) 6-2 6-3,5,R64,106.0,9.0,4.0,106.0,64.0,43.0,28.0,14.0,9.0,10.0,6.0,6.0,105.0,68.0,41.0,16.0,15.0,8.0,12.0
2000-580,Australian Open,Hard,128,G,20000117,109,103096,,,Arnaud Clement,R,173.0,FRA,22.083504449,54.0,694.0,103819,,,Roger Federer,R,185.0,SUI,18.4421629021,62.0,620.0,6-1 6-4 6-3,5,R32,101.0,2.0,0.0,84.0,50.0,36.0,21.0,13.0,3.0,4.0,7.0,6.0,88.0,49.0,32.0,13.0,13.0,6.0,12.0
2000-540,Wimbledon,Grass,128,G,20000626,33,102338,5.0,,Yevgeny Kafelnikov,R,190.0,RUS,26.3518138261,5.0,3016.0,103819,,,Roger Federer,R,185.0,SUI,18.8829568789,35.0,914.0,7-5 7-5 7-6(6),5,R128,128.0,13.0,9.0,122.0,73.0,55.0,23.0,18.0,5.0,8.0,10.0,2.0,115.0,67.0,43.0,28.0,18.0,2.0,7.0
2000-520,Roland Garros,Clay,128,G,20000529,50,103819,,,Roger Federer,R,185.0,SUI,18.8062970568,54.0,735.0,101885,,,Wayne Arthurs,L,190.0,AUS,29.1991786448,106.0,386.0,7-6(4) 6-3 1-6 6-3,5,R128,147.0,5.0,4.0,135.0,80.0,59.0,31.0,19.0,11.0,13.0,16.0,7.0,119.0,57.0,49.0,31.0,18.0,7.0,9.0
